timestamp,ticker,market,signal_type,price,reason,values,rule_id,notes
2025-01-23 00:00:00,PCG,NA,BUY,16.1871,entry_ok,"{""rsi"":22.331452633978003,""drop_pct"":-18.718713417079325,""zscore"":-2.2595427303779694}",ENTRY_V1,
2025-01-23 00:00:00,STZ,NA,BUY,176.4303,entry_ok,"{""rsi"":18.165137265064104,""drop_pct"":-17.852727597343243,""zscore"":-2.1423062518628324}",ENTRY_V1,
2025-01-24 00:00:00,EA,NA,BUY,116.2413,entry_ok,"{""rsi"":10.200771838560627,""drop_pct"":-19.16782252471655,""zscore"":-3.0815939149626534}",ENTRY_V1,
2025-01-24 00:00:00,EIX,NA,BUY,57.0661,entry_ok,"{""rsi"":20.684413084363115,""drop_pct"":-15.294971584448957,""zscore"":-2.013772300747286}",ENTRY_V1,
2025-01-27 00:00:00,EA,NA,BUY,117.5877,entry_ok,"{""rsi"":12.480161178414889,""drop_pct"":-16.2868307908165,""zscore"":-2.684890773989293}",ENTRY_V1,
2025-01-28 00:00:00,EA,NA,BUY,116.2114,entry_ok,"{""rsi"":12.36896139841869,""drop_pct"":-17.91350279482008,""zscore"":-2.548170111407693}",ENTRY_V1,
2025-01-29 00:00:00,EA,NA,BUY,116.7799,entry_ok,"{""rsi"":13.866309505212541,""drop_pct"":-17.389775107368777,""zscore"":-2.3178037502079034}",ENTRY_V1,
2025-01-30 00:00:00,EA,NA,BUY,118.3556,entry_ok,"{""rsi"":17.498727059547505,""drop_pct"":-16.49898570033398,""zscore"":-2.0685852154344806}",ENTRY_V1,
2025-01-30 00:00:00,MUR,NA,BUY,26.3842,entry_ok,"{""rsi"":14.94706791834102,""drop_pct"":-17.901972628645446,""zscore"":-2.036335164542342}",ENTRY_V1,
2025-01-31 00:00:00,MUR,NA,BUY,25.5774,entry_ok,"{""rsi"":8.438315188166996,""drop_pct"":-19.425112299089943,""zscore"":-2.326596749212699}",ENTRY_V1,
2025-02-03 00:00:00,MUR,NA,BUY,24.5401,entry_ok,"{""rsi"":0.8313172255400758,""drop_pct"":-20.750625179127468,""zscore"":-2.6568186884138787}",ENTRY_V1,
2025-02-03 00:00:00,WHR,NA,BUY,95.4787,entry_ok,"{""rsi"":28.375668198229704,""drop_pct"":-23.690477947179968,""zscore"":-2.2837080252233277}",ENTRY_V1,
2025-02-04 00:00:00,DECK,NA,BUY,169.4900,entry_ok,"{""rsi"":29.352123214636336,""drop_pct"":-20.839752926062182,""zscore"":-2.955107895475439}",ENTRY_V1,
2025-02-04 00:00:00,MUR,NA,BUY,25.4238,entry_ok,"{""rsi"":9.924467373842901,""drop_pct"":-15.941570273977156,""zscore"":-2.0491498752095096}",ENTRY_V1,
2025-02-04 00:00:00,WHR,NA,BUY,96.6143,entry_ok,"{""rsi"":21.804175283194212,""drop_pct"":-23.935445998180114,""zscore"":-2.048304204603924}",ENTRY_V1,
2025-02-05 00:00:00,FMC,NA,BUY,34.9476,entry_ok,"{""rsi"":13.305419342286086,""drop_pct"":-34.019106108605015,""zscore"":-3.946660719846362}",ENTRY_V1,
2025-02-05 00:00:00,UPS,NA,BUY,106.5235,entry_ok,"{""rsi"":28.723679446526134,""drop_pct"":-15.579032272205229,""zscore"":-2.484795756571067}",ENTRY_V1,
2025-02-06 00:00:00,DECK,NA,BUY,172.1900,entry_ok,"{""rsi"":28.85812141272605,""drop_pct"":-21.219748057204434,""zscore"":-2.556444060253221}",ENTRY_V1,
2025-02-06 00:00:00,EL,NA,BUY,63.6258,entry_ok,"{""rsi"":28.1556581213749,""drop_pct"":-19.785298069465906,""zscore"":-2.7231689350053228}",ENTRY_V1,
2025-02-06 00:00:00,FMC,NA,BUY,34.6946,entry_ok,"{""rsi"":12.909920412936728,""drop_pct"":-35.9094192581111,""zscore"":-3.436611587157867}",ENTRY_V1,
